content,replies,retweets,favorites,published_date
"Some personal news: My kid just got accepted at #USC, and no jail time or $70M donation  #collegeadmissionspic.twitter.com/hGDjlFxKiP",3,3,17,3/27/2019 5:07
"Sending positive supportive thoughts to you and @BubbBolden Of course my wish is to see Bubba ripping it up in S&G, however will always respect his choice!! #FightOn #USC",0,1,15,12/31/2018 16:07
TPALAX - Back at #USC for Spring Practice No. 10 @USCScoop #FightOnpic.twitter.com/63BJmEvGJl,4,12,74,4/2/2019 4:08
"So the burning question of the day is WHY DON'T I HAVE HIGHLIGHTERS WITH ME? I must scout the airport...
#USC #DSW #SocialWork #DoctoralLyfepic.twitter.com/zy12I3wZo7",1,0,1,3/31/2019 7:53
Charles White and #USC vs. Michigan in 1979 Rose Bowl pic.twitter.com/6kip05bpIw,2,6,49,1/1/2019 13:57
"Dr Dreâ€™s Daughter Claims She Was Pressured By Her Father To Apply To USC
Read more on http://Lovelyti.comÂ : https://buff.ly/2UTE6jlÂ 
#DrDre #USC #collegescam #CollegeCheatingScandalpic.twitter.com/kZH7sEINiI",4,3,6,3/25/2019 9:42
#USC OC Graham Harrell says that he was pleased with last weekâ€™s scrimmage but that the offense still needs to play faster.,4,10,66,3/26/2019 17:23
PART II - #USC QB commit @bryce_young to @300_Sh0wtime for the @premiumsportsla @USCScoop #Adidas7v7Nationalspic.twitter.com/Ya8WZI1sbD â€“ at Tournament Sportsplexof Tampa Bay,2,15,73,3/30/2019 13:25
"#USC, and there isn't a close second.  https://twitter.com/SportsPac12/status/1113177810770649088Â â€_",0,1,3,4/2/2019 13:42
"Harbor City (Calif) Narbonne WR Josh Jackson just announced his commitment to #USC, currently on campus for #Trojans Junior Day",2,15,108,3/23/2019 12:13
"#USC wanted to have its cake and eat it too. If Kliff Kingsbury is so much your guy you're going to deny him a chance to interview for an #NFL head coaching job, why didn't you just hire him to be your head coach?",22,26,272,1/7/2019 12:39
"Back-to-back over time games for me. #USC womenâ€™s water polo is falling to farm, 9-8 with 33 seconds left in over time. pic.twitter.com/0xpzakUCaa",0,0,0,3/30/2019 15:46
â€œThe thing that stood out to me was how well the teamâ€™s chemistry has developed. They also seem to be having more fun playing football.â€ù I spoke with Lawndale HS SDE Tuli Tuipulotu (@TuipulotuTuli) about his recent visit to #USC. https://www.conquestchronicles.com/recruiting/2019/3/31/18289392/usc-football-recruiting-2020-lawndale-defensive-end-tuli-tuipulotu-visit-top-schoolsÂ â€_,1,3,14,3/31/2019 10:41
"Meanwhile, the #USC athletic director will actually be in Virginia the same day signing autographs for $235 a pop pic.twitter.com/U6mrZU2yon",20,16,55,3/29/2019 18:34
"Just paid off the oldest of my student loans. After being distributed in 2003, my first Federal Stafford loan I got at Maryville College has now been returned.

Now if only my #USC loans would disappear...",12,0,128,4/1/2019 15:04
"Watching #RoseBowl. After the 1932, my @ColgateFB Raiders were undefeated, untied and UNSCORED UPON, but deemed too small to be invited to Pasadena. #Pitt was crushed by #USC 35-0. Scribes wrote that we wouldâ€™ve played a better game. #Columbia went the next year, beat #Stanford.",17,12,111,1/1/2019 14:19
#USC OL Target Enokk Vimahi (@enokkvimahi) â€” No. 71 â€” going through early drills at the All-American Bowl here in San Antonio.pic.twitter.com/vVsnM2fveB,0,3,15,1/1/2019 11:40
"Orange Lutheran (Calif.) WR Kyle Ford just announced his commitment to #USC, adds to loaded WR corp for the #Trojans",13,21,113,1/5/2019 11:16
Enjoying the great event @USCAnnenberg @Center4PRâ€™s 29th Annual Kenneth Owler Smith Symposium. #PRFuture #USC pic.twitter.com/DvVw5ME2EY â€“ at Wallis Annenberg Hall,0,0,6,3/28/2019 18:38
One of the best we ever covered at #USC. Congrats Troy! https://twitter.com/USC_Athletics/status/1082299030988681216Â â€_,3,21,192,1/7/2019 7:53
BREAKING: 5-star ATH Bru McCoy will transfer from #USC to #HookEm. He plans to arrive in Austin next week. #FightOn.https://www.usc247.com/news/2019/1/24/mccoy-set-to-transfer-from-uscÂ â€_,77,378,1.1K,1/24/2019 12:31
My family did not come to play. #USC pic.twitter.com/yRiI97lYvZ,0,118,663,3/23/2019 19:21
"Ever since I learned that #USC's blind long snapper @JakeOlson61 could not only play golf but shoot in the 70's I have wanted to see him in action. Saturday I got that chance and it was, like most things Jake does, inspirational. Story here: https://247sports.com/college/usc/Article/A-special-day-on-the-golf-course-with-Jake-Olson-130496022/Â â€_pic.twitter.com/m4IwxOxW9i",12,40,248,3/25/2019 8:21
"Local law enforcement is giving ride-sharing tips to ensure #safety for everyone. This comes a few days after police in SC say a #USC student was killed by someone who may have been posing as an #Uber driver.

(Ft. @FergusonTwpPD Chief)

Full link: https://wjactv.com/news/local/police-giving-ride-sharing-tips-after-student-mistook-a-car-for-her-uber-and-was-killedÂ â€_pic.twitter.com/emRQTA8e4F â€“ at WJAC State College",1,1,4,4/1/2019 21:00
Gearing up for a great night at @USCAnnenberg @Center4PRâ€™s 29th Annual Kenneth Owler Smith Symposium! #PRFuture #USC pic.twitter.com/9H9DS4mT1F,0,0,6,3/28/2019 18:16
"My first day of residency has been fun. It can be hard for an introvert like me to keep up. But not today. 
#USC #DSW #SocialWork #DoctoralLyfepic.twitter.com/bfVeLyh4PY",0,0,3,4/2/2019 0:13
"New #adulting advice for students when it comes to ridesharing: 

Dept member @natigerssn is a #USC graduate and spoke about #uber safety.

#SayYesToFCShttps://www.usatoday.com/story/money/2019/04/02/safety-tips-using-uber-lyft-urged-after-murder-usc-student/3339738002/Â â€_",0,1,6,4/2/2019 16:40
Drake Jackson's immediate impact highlighting #USC's springhttps://trojaninsider.com/s/1254/drake-jacksons-immediate-impact-highlighting-uscs-springÂ â€_ (FREE) #FightOn,1,12,92,3/28/2019 7:38
5-Star #USC QB commit @_bryce_young & 4-Star @SFAfootball_MD WR Traeshon Holden hooked up often Saturday/Sunday for 2019 #Adidas7v7 National Champions @premiumsportsla #TeamDime @USCScoop #FightOnpic.twitter.com/LLOjdrXaoL,1,19,73,4/1/2019 7:56
"#USC's Saturday practice, Day 9 of Spring Camp, is all done.

Full pads as expected on a scrimmage day.",2,4,18,3/30/2019 11:46
"Okay yâ€™all, we ACTUALLY pulled off a #UCLA #USC BLACK GRAD WOMENâ€™s WRITING SESSION in LOS ANGELES. 

MY HEART IS SO FULL. 

It was only right that a black woman owned coffee shop @SipandSonder hosted us!pic.twitter.com/t9S6A2azQf",20,111,959,3/9/2019 15:51
Oh my god where was I   One of the best things about going to a school like #USC https://twitter.com/Comey/status/1095086625447505920Â â€_,0,0,0,4/1/2019 23:10
Battle of the #Carolinas off to wild start 7-4 #USC @GamecocksOnline over @NCState #Wolfpack after one inning @BBTBallpark #Charlotte pic.twitter.com/JuU6273aRm,0,1,0,4/2/2019 16:47
"Target acquired. Highlighters found at the newsstand. Three more hours until my flight out of Logan. Trying to sit quietly with my tired brain. 
#USC #DSW #SocialWork #DoctoralLyfepic.twitter.com/l2eEDGYaIw",0,0,0,3/31/2019 9:27
#USC LB Ralen Goforth was the last to leave practice again @USCScoop #FightOnpic.twitter.com/TqwebIxLIh â€“ at University of Southern California,3,9,128,3/26/2019 18:41
So grateful to have been trusted to be the photographer for the USC @Center4UrbanEd throughout their Student Equity Planning Institutes! They're doing some exciting work! #studentequity #usc #ccc #californiacommunitycolleges #communitycollegeshttps://twitter.com/Center4UrbanEd/status/1110977335933587461Â â€_,0,2,9,3/30/2019 10:24
Want to play with Ninja? Show us how you game for a chance to meet and play with the most popular gamer in the world. Visit http://Ninja.RedBull.comÂ  for details.pic.twitter.com/dlNWvrNcTq,44,21,118,3/28/2019 14:40
"We've just uploaded some extensive coverage of the @VisionsnVoices' 40 Years of Alien: 40th Anniversary Exhibit, including an article, video and interview! | https://www.avpgalaxy.net/website/articles/avp-galaxy-tours-usc-alien-40th-anniversary-exhibit/Â â€_ | #Alien #Alien40th #Alien40thAnniversary #VisionsAndVoices #USC #Xenomorph #XenomorphXX121pic.twitter.com/HT8XvTSgrP",0,10,49,3/23/2019 11:07
#USC among the Top 10 Schools for Nashville (TN) ATH Keshawn Lawrence @USCScoop #FightOnhttps://twitter.com/KeShawn2x/status/1111755405196169217Â â€_,0,7,47,3/29/2019 15:26
#USC dual-sport signee Drake London with the 540 dunk? https://twitter.com/USC_Hoops/status/1109832933982920704Â â€_,2,14,94,3/24/2019 8:22
"#AbledsAreWeird Summer #USC program as a high-schooler, I used an electric cart bc I have cerebral palsy. Woman asked me what I was studying. I said film. She said, â€œyou make movies in that [cart]?â€ù, laughed at me and left. Today I write for #TheRookie",4,14,68,3/16/2019 11:12
A nice moment between Bru McCoy and his parents after committing to #USC pic.twitter.com/6RzwjvMuaH,6,20,147,1/5/2019 13:32
"With #NanaMeriwether, #MissUSA 2012. Nana is emblematic of #TheRacingHeartâ€™s heroine - beautiful, brilliant, bold & fierce. 

#Philanthropy #Nonprofit #MeriwetherFoundation #Maryland #MissMaryland #Vollyeball #ProVollyball #UCLA #NYC #Duke #USC #MissCalifornia #MissUniversepic.twitter.com/gSWVDlIsE5",0,0,3,3/29/2019 12:40
I feel like our program is the laughing stock of college football and Swann doesnâ€™t give an F. Just the way it feels. #USC,18,47,193,1/24/2019 10:38
Donâ€™t you know #USC has a commitment from a 5-foot-7 QB in the 2020 class? Stop complaining! https://twitter.com/InsideUSC/status/1079937548099538946Â â€_,2,4,7,1/1/2019 9:34
#USC OT Chuma Edoga clearly needs work with the placement of his punch and handwork. But itâ€™s his feet that have my attention here. Edoga is having a great week. pic.twitter.com/sEu1Ubu2gg,12,66,314,1/23/2019 22:58
"Need an editor to help with thesis, assignments or grant proposal? Contact me @BetweenDraftsEd 
I'm an experienced writer and editor with background in science, postgrad creative writing.
#internationalstudents #esl #USC #learningenglish",0,0,0,4/2/2019 1:43
"LOVE this: Jake Olson, #USCâ€™s blind long snapper, will participate in the bench press portion of the Trojansâ€™ Pro Day on March 20 and & will raise funds to help cure the retinoblastoma cancer that took his eyesight. Go! https://pledgeit.org/jake-olson-2019",0,73,204,3/7/2019 10:33
#USC has offered Newport Beach (Calif.) Corona del Mar tight end Mark Redman: https://247sports.com/Player/Mark-Redman-46053505/Â â€_pic.twitter.com/jWR4r1B3l2,4,11,44,2/21/2019 9:11
"Wish Bubba and you all the best; sure hope to see him back in C&G, however will always respect his choice! #FightOn #USC",0,0,9,12/31/2018 16:05
Aunt Becky in jail! They gotta incorporate this into the final season of Fuller House! https://perezhilton.com/lori-loughlin-college-admissions-scandal-custody-husband-mossimo/Â â€_ #OperationVarsityBlues #LoriLoughlin #FelicityHuffman #JohnStamos #USC,34,4,90,3/13/2019 12:40
"Fascinating presentations at the #USC ISI Graduate Student Symposium today! So far: Characterizing activity on the deep and dark web, denial of service attack vulnerability detection and Flash cRowd Attack Defense. #CyberSecuritypic.twitter.com/rsIDpWor2N",0,0,8,3/26/2019 11:43
Our @ShotgunSpr with a story on #USC running back Stephen Carr. He's now 100% and looking for a breakout season in this new offense. https://247sports.com/college/usc/Article/USC-football-Stephen-Carr-looking-forward-healthy-season-with-Mike-Jinks-Graham-Harrell-offense-129823960/Â â€_pic.twitter.com/xtqwE15Wn5,4,12,73,3/8/2019 13:04
Proud of my friend and colleague @benackerAUSD on completing his doctoral program @USCRossier . Fight on! #usc pic.twitter.com/p17BCp8kMH,4,6,52,3/25/2019 17:00
#UCLA has offered Santa Ana (Calif.) Mater Dei '20 QB and #USC commit Bryce Young after visiting the Monarch campus earlier today  https://247sports.com/Player/Bryce-Young-93127/Â â€_,11,18,158,1/18/2019 17:28
"Great time to announce a 3.5 increase for #USC undergraduate tuition!
Thanks, Board of Trustees! https://twitter.com/AnnenbergMedia/status/1107770531909001217Â â€_",15,15,71,3/18/2019 15:54
Four-star Narbonne WR commits to #USC. Just did it on Howard Jones Field with his family @gmartlive @GregBigginshttps://twitter.com/JoshuaJacksonJr/status/1109533516822269953Â â€_,1,14,138,3/23/2019 12:16
"Reggie Bush absolutely changed the game of College Football...He was Social Media before Social Media. 

The amount of money Bush made for #USC and the #NCAA was astronomical. The precedent taken to remove his heisman is still a travesty to this Day...pic.twitter.com/o5KD4DhOyJ",11,109,352,1/9/2019 19:47
Iâ€™m so excited & honored to be speaking next week to students at #USC ! For sure âÅ_@nyjetsâÅ© QB Sam Darnoldâ€™s name will come up! #Jets #NFLpic.twitter.com/A8SKKYVCMt,6,15,139,3/22/2019 16:45
Former #USC quarterback @Mark_Sanchez was pulling some babysitting duty at spring practice yesterday. #FightOnpic.twitter.com/hsRcLOVxYB,3,9,105,3/6/2019 9:58
#USC landed the No. 1 and No. 3 players in CA today (247Sports rankings) https://twitter.com/ShotgunSpr/status/1081654200235257856Â â€_,8,43,274,1/5/2019 12:56
"no border in ireland  and take back that corrupt bank tax that was placed on our heads, we are struggling with all these taxes #USC #LPT while banks in ireland  pay no tax under @LeoVaradkar governmentpic.twitter.com/0pYJcKswL0",0,0,0,4/2/2019 12:43
Former #USC LB and http://USCFootball.comÂ  columnist Jeff Kopp brought his family to practice today. He's a high school coach in Florida now. @Kopper57pic.twitter.com/a3we6G5i06 â€“ at Brian Kennedy Field (BKF),0,1,23,4/2/2019 15:01
"North Texas OC Graham Harrell has emerged as a strong candidate for the #USC OC vacancy but reports of a done deal are not accurate, sources tell me.",30,60,284,1/28/2019 9:55
Bellflower (Calif.) St. John Bosco OL Drake Metcalf picked up an offer from #USC following an unofficial visit to campus earlier today https://twitter.com/DrakeMetcalf60/status/1098044240020422656Â â€_,0,10,58,2/19/2019 18:25
Drake Jackson returning punts for #USC next season? pic.twitter.com/Sx6Lwh4Y3U,5,12,105,1/1/2019 13:52
"Clearly, nobody at #USC understands timing. #FightOnhttps://twitter.com/AnnenbergMedia/status/1107770531909001217Â â€_",2,13,27,3/18/2019 16:16
Premium wins the @adidasFballUS 7on7 National Championship with this toss through defenders by #USC QB commit Bryce Young: https://247sports.com/player/bryce-young-93127/Â â€_pic.twitter.com/TVR042COjz,9,29,105,3/31/2019 12:39
What an epic finish to his #USC career! Though his current insta updates are way more epic...,0,0,0,4/1/2019 12:32
"Interesting quote on #USC AD Lynn Swann blocking Kingsbury from interviewing: ""Heâ€™s believed to be the first college A.D. to ever block a coach from interviewing for an NFL head-coaching job.""
https://247sports.com/college/usc/Article/Kliff-Kingsbury-USC-New-York-Jets-Arizona-Cardinals-NFL-interview-127378625/Â â€_pic.twitter.com/FV582WuHyD",33,21,84,1/5/2019 18:15
"THE WAR ROOM: This week we discuss President-Elect Carol Folt's meeting with #USC's athletic department, share some recruiting developments from the Trojans' Junior Day, and more. 

Read here:
http://247sports.com/college/usc/Article/usc-trojans-carol-folt-admissions-scandal-war-room-bryce-young-connor-murphy-130648363/Â â€_pic.twitter.com/iPFD0veaq7",3,7,31,3/29/2019 7:11
#DrDre proudly announces his daughter #TrulyYoung got into #USC. And heâ€™s poking fun at the college scandal. Ha! https://ift.tt/2OocFvxÂ pic.twitter.com/teOdBbIpYF,32,90,436,3/24/2019 6:07
Sean McVay talking ball at the #USC NIKE Clinic. pic.twitter.com/1mw0RgFIAW,0,0,2,3/29/2019 17:07
Mater Dei four-star cornerback Darion Green-Warren de-commits from #Oklahoma. Green-Warren sill being heavily pursued by #USC. Nod to @ChrisNTrevino and the War Room Friday.https://twitter.com/gogettadarion/status/1104111808451731456Â â€_,4,10,103,3/9/2019 8:26
"USC's Tommy Riach (right) talks to former #USC star/New York Yankee Hank Workman and Yankee legend Joe DiMaggio when the Trojans played Yankees on March 26, 1951 pic.twitter.com/LQw1zVeVoe",1,3,11,3/27/2019 12:45
One #USC â€œreporterâ€ù writes that the #FightOn offense is â€œmassivelyâ€ù improved under Harrell. Remember when last yearâ€™s defense was supposed to be the best since 2008 but it turned out they just played against a bad offense everyday in practice? Me too!!!,1,0,6,4/1/2019 13:01
"Five minutes after Lynn Swann took a picture with Snoop Dogg, Urban Meyer took a picture with Snoop Dogg. Theyâ€™re now talking. Where are you @BradyMcCollough? #USC pic.twitter.com/7p5pdrDrMM",17,21,129,2/2/2019 21:52
"#ESPN Class Rankings week from signing day 2:

1 #Alabama
2 #UGA
3 #GigEm
4 #OUDNA 
5 #Longhorns (up 4 with Bru McCoy)
6 #Oregon
7 #Michigan
8 #LSU
9 #Clemson
10 #ND
11 #Gators
12 #PennState
13 #OhioState
14 #Auburn
15 #Vols
16 #Huskies
17 #FSU
18 #SpursUp
19 #USC
20 #Arkansas",9,71,188,1/31/2019 4:58
"Which Trojans caught the eye in Week 3 of Spring Camp?

#USC is getting some really encouraging performances on offense and on the defensive line.
https://reignoftroy.com/2019/04/01/usc-football-spring-camp-five-players-stood-out-week-3/Â â€_",1,5,18,4/1/2019 12:22
#OhioState QB commit Jack Miller and #USC QB commit Bryce Young have punched their tickets to the Elite 11 Finals this summer pic.twitter.com/lgXzhRJnWQ,6,53,389,2/10/2019 17:34
#USC Athletic Director Lynn Swann responds to an LA Times article questioning his commitment to the university today: https://usctrojans.com/news/2019/4/2/general-releases-a-note-from-lynn-swann.aspxÂ â€_,31,14,39,4/2/2019 16:01
"Santa Ana (Calif.) Mater Dei ATH Bru McCoy just announced his commitment to #USC, goes in-depth on his decision here 
https://247sports.com/Article/Five-Star-athlete-Bru-McCoy-breaks-down-his-commitment-to-USC--127370438/Â â€_pic.twitter.com/h6uPujBlIV",4,24,145,1/5/2019 12:45
Some good intel on new #USC OC/QB coach Graham Harrell from his old quarterbacks via @AntonioCMorales:https://theathletic.com/837318/2019/02/25/graham-harrell-usc-quarterback-expectations-north-texas/Â â€_,0,12,29,2/27/2019 7:15
"Long Beach Poly (Calif.) '21 DB Kamren Blanton talks early offer from #ArizonaState, will camp with both #UCLA and #USC over the summer https://247sports.com/Article/Kamren-Blanton-talks-Arizona-State-offer-will-camp-with-UCLA-and-USC-129834280/Â â€_pic.twitter.com/2kvYgqx6pc",0,15,51,3/7/2019 20:41
Signs installed on Figueroa for pedestrians unfortunately they are backwards.   #LAMetro #USC #YouHadOneJobpic.twitter.com/LPxmXSAW7Q,3,1,2,4/1/2019 17:18
Former #TexasTech coach and current #USC offensive coordinator Kliff Kingsbury is expected to get head coaching interviews with the #Cardinals and #Jets.https://sports.yahoo.com/sources-kliff-kingsbury-get-head-coaching-interviews-jets-cardinals-232458625.htmlÂ â€_,247,846,2.3K,1/1/2019 15:35
USC FIRE and USC student EMTâ€™s #EMSC serving their fellow Trojans tonight at the annual Springfest concert! #USC #FireFightOnpic.twitter.com/1KgCvQmFF6,0,0,5,3/30/2019 18:53
"Congratulations to 2021, 6â€™9 wing, JT Thor on receiving a scholarship offer from The University of Southern California!! @thorrjt #huntington #prep #basketball #Scholarship #offer #USC pic.twitter.com/cHA0ptleJo",0,7,41,3/31/2019 13:58
ICYMI: We break down the top performers from the #USC #Trojans second fall camp scrimmage Saturday:https://247sports.com/college/usc/ContentGallery/Saturday-USC-scrimmage-top-performers-130721658/Â â€_,0,2,4,3/31/2019 15:13
"Just think, right now a kid is sitting in their dorm, at their 2nd choice school, because this entitled kid took their spot at their DREAM school: #USC A kid on a crew team somewhere is thinking the same thing.  Our kids deserve better.... #LoriLoughlin #FelicityHuffman",13,74,600,3/12/2019 19:34
Too much sauce. @USC_FB #USC pic.twitter.com/fyzfZGDCX2,0,0,1,3/27/2019 18:35
"Bru McCoy and Drake Jackson

Jackson committed signed with #USC Dec.19 & McCoy will announce his school choice Jan. 5 during the @19AllAmerican Bowl in San Antonio @USCScoop #FightOnpic.twitter.com/8Orzs1ooc9",4,14,96,12/31/2018 19:06
"#USC reels in 5-star WR Kyle Ford. There'd be rumblings he might flip someplace else. Trojans have some studs at receiver for Graham Harrell to work with, plus two big-time TE signees in this class.",9,27,154,2/6/2019 7:42
Watching from afar the most impressive player at OL DL 1-on-1s May be #USC OT Chuma Edoga #FightOn. Light feet with good amount of nasty mixed in on reps I saw.,4,20,62,1/22/2019 14:49
"2020 has to be Better than 2019. 

Talking #USC recruiting with @InsideUSC @USC 

https://www.youtube.com/watch?v=Dfi6QE2epGEÂ â€_

Courtesy: 247 Sportspic.twitter.com/E6zyy188Zc",0,0,1,3/30/2019 9:17
#USC offers 2021 4 QB out of Dallas. No. 1 DUAL and No. 1 player in Texas. https://twitter.com/_prestonstone/status/1113203530951811074Â â€_,0,2,9,4/2/2019 15:30
Mick i an going through a crisis when DÃ¡il Ã‰ireann fucked me@over with corrupt bank debt #LPT #USC and no pay rise since 2008 as @EndaKennyTD said we canâ€™t have one,0,0,0,4/2/2019 9:53
"#USC loads the bases for second time today, but can't get a run across.

Trojans have left seven men on base in three innings. #UCLA leads 4-2.",0,0,3,3/31/2019 17:34
